"species_code","common_name","scientific_name","bird_group","status_note","brief_description"
"EMPIDONAX_VIRESCENS","Acadian Flycatcher","Empidonax virescens","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds eastern USA; winters Nicaragua to Ecuador and Venezuela Indiana listing: No special state or federal status code shown."
"EMPIDONAX_ALNORUM","Alder Flycatcher","Empidonax alnorum","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds Alaska to northeastern USA; winters Colombia to Bolivia Indiana listing: No special state or federal status code shown."
"RECURVIROSTRA_AMERICANA","American Avocet","Recurvirostra americana","Stilts and Avocets","No special state or federal status code shown","Stilts and Avocets. Range: southern Canada to central Mexico; winters southern USA to Costa Rica and Cuba Indiana listing: No special state or federal status code shown."
"BOTAURUS_LENTIGINOSUS","American Bittern","Botaurus lentiginosus","Bitterns, Herons, and Egrets","Indiana State Endangered","Bitterns, Herons, and Egrets. Range: breeds Alaska to Mexico; winters to Panama and West Indies Indiana listing: Indiana State Endangered."
"ANAS_RUBRIPES","American Black Duck","Anas rubripes","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: eastern Canada and northeastern USA; winters to southeastern USA, especially Atlantic coast to South Carolina Indiana listing: No special state or federal status code shown."
"FULICA_AMERICANA","American Coot","Fulica americana","Rails, Gallinules, and Coots","No special state or federal status code shown","Rails, Gallinules, and Coots. Range: breeds southern Alaska across southern Canada, and southward through western and central USA to northwestern Costa Rica, the Caribbean (Greater and Lesser Antilles), and northern South America Indiana listing: No special state or federal status code shown."
"CORVUS_BRACHYRHYNCHOS","American Crow","Corvus brachyrhynchos","Jays, Magpies, Crows, and Ravens","No special state or federal status code shown","Jays, Magpies, Crows, and Ravens. Range: varied habitats from forest and woodland to open fields and cities from southern coastal Alaska, and southern Northwest Territories eastwards to southern Labrador (northwestern to northeastern Canada) southwards to far northern Baja California, southern Texas, and southern Florida; introduced Bermuda Indiana listing: No special state or federal status code shown."
"PLUVIALIS_DOMINICA","American Golden-Plover","Pluvialis dominica","Plovers","Indiana Special Concern","Plovers. Range: breeds high Arctic to subarctic from northern Alaska eastward to northeastern Canada, and southward to north-central British Colombia; winters coastal southeastern Brazil and Argentina, and inland grassland, Paraguay to east-central Argentina Indiana listing: Indiana Special Concern."
"SPINUS_TRISTIS","American Goldfinch","Spinus tristis","Finches","No special state or federal status code shown","Finches. Range: breeds in weedy and grassy fields, orchards, bushy areas, and gardens from southern British Columbia eastwards to southwestern Newfoundland (southwestern to southeastern Canada) southwards through southern California and to northern Louisiana and Georgia; winters southward to northern Baja California and northern (northwestern Mexico), Veracruz (eastern Mexico), and southern Florida Indiana listing: No special state or federal status code shown."
"FALCO_SPARVERIUS","American Kestrel","Falco sparverius","Falcons and Caracaras","No special state or federal status code shown","Falcons and Caracaras. Range: Alaska to Newfoundland, southward through Caribbean to Chile and Argentina to Tierra del Fuego Indiana listing: No special state or federal status code shown."
"ANTHUS_RUBESCENS","American Pipit","Anthus rubescens","Pipits","No special state or federal status code shown","Pipits. Range: breeds northern Alaska including Aleutians through northeastern Canada and western Greenland, and southward through mountains of western North America to Arizona and New Mexico; winters to south-central Mexico and Florida Indiana listing: No special state or federal status code shown."
"SETOPHAGA_RUTICILLA","American Redstart","Setophaga ruticilla","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds Alaska to southern USA; winters southern USA to northern South America and West Indies Indiana listing: No special state or federal status code shown."
"TURDUS_MIGRATORIUS","American Robin","Turdus migratorius","Thrushes","No special state or federal status code shown","Thrushes. Range: breeds in varied woodland, forest, and garden types from northern Alaska eastwards to northern Labrador (eastern Canada) and southwards to far northern and (disjunctly) far southern Baja California, mountains of Mexico (to Oaxaca), and southern Texas eastwards to northern Florida; winters from southern Alaska and southern Canada southwards to San Luis Potosi and Veracruz (central Mexico) and southern Florida Indiana listing: No special state or federal status code shown."
"SPIZELLOIDES_ARBOREA","American Tree Sparrow","Spizelloides arborea","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds in open scrub and tundra with scattered shrubs from northern Alaska eastwards to northern Labrador (northeastern Canada), southwards to northern British Columbia and central Quebec (southern Canada); winters across southern Canada to west-central and eastern USA southwards to eastern New Mexico and northern Georgia Indiana listing: No special state or federal status code shown."
"PELECANUS_ERYTHRORHYNCHOS","American White Pelican","Pelecanus erythrorhynchos","Pelicans","No special state or federal status code shown","Pelicans. Range: breeds inland south-central British Columbia and northeastern Alberta to west-central Ontario (southwestern and south-central Canada) southward to central California and Texas (southwestern to south-central USA); non-breeders range inland southern USA to northwestern Central America Indiana listing: No special state or federal status code shown."
"MARECA_AMERICANA","American Wigeon","Mareca americana","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Alaska to southern USA; winters through Central America and the Caribbean Indiana listing: No special state or federal status code shown."
"SCOLOPAX_MINOR","American Woodcock","Scolopax minor","Sandpipers and Phalaropes","Indiana Special Concern","Sandpipers and Phalaropes. Range: breeds temperate forest and edge from southwestern Alberta eastward to Maritime Provinces (south-central to southeastern Canada) and southward to southeastern Texas and northern Florida (southeastern USA); winters in southeastern USA Indiana listing: Indiana Special Concern."
"SYNTHLIBORAMPHUS_ANTIQUUS","Ancient Murrelet","Synthliboramphus antiquus","Murres and Murrelets","No special state or federal status code shown","Murres and Murrelets. Range: breeds on forested or vegetated islands of temperate northwestern to northeastern North Pacific coasts, patchily from Kamchatka, Sea of Okhotsk, Sakhalin, Kuril and Commander islands (eastern Russia); Sea of Japan and Yellow Sea, Aleutian Islands, and Gulf of Alaska to western British Columbia (southwestern Canada); winters to Sea of Japan and southwestern Pacific coast of Japan, and southern California; prone to long-distance vagrancy inland, southern Canada, and northern USA Indiana listing: No special state or federal status code shown."
"CALYPTE_ANNA","Anna's Hummingbird","Calypte anna","Hummingbirds","No special state or federal status code shown","Hummingbirds. Range: breeds southwestern Alaska to northwestern Baja California (northwestern Mexico); winters to northern Mexico Indiana listing: No special state or federal status code shown."
